# height tau_500 colmass temperature v_turb hydrogen_density proton_density electron_density pressure p_ratio density
#     km        m/m      g/cm^2       K   km/s       cm^-3       cm^-3       cm^-3    dyn/cm^2  Pa/Pa      g/cm^3
  805.00  2.391E-05  4.710E-03    5490   1.77  1.481E+14  9.014E+10  1.122E+11  1.290E+02  0.958  3.471E-10
  755.00  3.090E-05  6.868E-03    5280   1.54  2.268E+14  6.493E+10  9.690E+10  1.882E+02  0.967  5.313E-10
  705.00  3.998E-05  1.022E-02    5030   1.38  3.560E+14  3.637E+10  8.387E+10  2.799E+02  0.972  8.341E-10
  650.00  5.553E-05  1.624E-02    4750   1.18  6.033E+14  1.375E+10  9.000E+10  4.451E+02  0.978  1.414E-09
  600.00  8.534E-05  2.538E-02    4550   1.00  9.895E+14  5.368E+09  1.255E+11  6.954E+02  0.983  2.319E-09
  560.00  1.404E-04  3.680E-02    4430   0.89  1.478E+15  2.825E+09  1.767E+11  1.008E+03  0.986  3.464E-09
  525.00  2.393E-04  5.125E-02    4400   0.80  2.078E+15  2.424E+09  2.413E+11  1.404E+03  0.989  4.869E-09
  490.00  4.287E-04  7.149E-02    4410   0.72  2.898E+15  2.618E+09  3.300E+11  1.959E+03  0.991  6.791E-09
  450.00  8.510E-04  1.044E-01    4460   0.65  4.192E+15  3.600E+09  4.714E+11  2.860E+03  0.993  9.821E-09
  400.00  1.984E-03  1.664E-01    4560   0.55  6.549E+15  6.715E+09  7.344E+11  4.558E+03  0.995  1.534E-08
  350.00  4.526E-03  2.626E-01    4660   0.52  1.012E+16  1.267E+10  1.134E+12  7.194E+03  0.996  2.372E-08
  300.00  1.009E-02  4.103E-01    4770   0.55  1.545E+16  2.604E+10  1.737E+12  1.124E+04  0.995  3.619E-08
  250.00  2.203E-02  6.344E-01    4880   0.63  2.331E+16  5.605E+10  2.645E+12  1.738E+04  0.994  5.463E-08
